model,var_sp[1]_mean,var_sp[1]_2.5%,var_sp[1]_97.5%,var_sp[2]_mean,var_sp[2]_2.5%,var_sp[2]_97.5%,var_sp[3]_mean,var_sp[3]_2.5%,var_sp[3]_97.5%,sigma_mean,sigma_2.5%,sigma_97.5%,indiv_std_mean,indiv_std_2.5%,indiv_std_97.5%,log_density_mean,log_density_2.5%,log_density_97.5%,elpd,elpd_mcse,p,p_mcse
Gaussian,299.80922806479026,298.8513855591075,300.8769739734153,-3.3421637570513654,-3.7693965943463756,-2.715193595917309,1.5313910085401479,1.2795354044771492,1.841947972939294,0.041688412685270244,0.03779683324329396,0.045968471729892935,0.2527757553413485,0.18128332589182894,0.35002058242326045,553.5112832043804,530.6288012479886,574.9222073886986,463.7706860075443,26.153504239460872,100.00668807431896,14.226457791448276
Modified Gaussian,300.5135085687652,298.8429247440963,304.1937324741486,-3.4975145216304666,-3.884508613015882,-2.8860473947552348,1.844310322964467,1.489920739074766,2.3647549484969748,0.04091832146782055,0.03722655510923076,0.04523577741290702,0.25122169483048895,0.18422371534138332,0.33873965034618186,559.4787168543797,534.8657092289735,586.6639495655851,467.94731835749286,27.315483329506115,102.16934771974138,15.021739301014737
Weibull,300.2457655744423,299.4501657125764,301.1920580537465,-3.310439632103079,-3.7123119073996804,-2.7493162836075324,3.2134510804895453,2.797087070191469,4.273981564937572,0.04197858960044783,0.03812993562742939,0.04623378783628732,0.26393921153864663,0.18572477209219632,0.3696730726757429,547.2813326662022,521.3724196307757,570.3128153710741,462.55007074313227,25.474215056942636,98.89921077302179,13.78432793051342
Pawar,297.8077717995774,296.8042649549861,299.22035031317483,-3.8585541311003464,-4.213346955135567,-3.1642661866872595,1.5527624796832378,0.8447253172409297,1.8805848941293153,0.04111576317655221,0.0374908075642333,0.045130198839054836,0.23722384343752145,0.1755116649988047,0.32616116198399586,562.4561274418837,539.7044502751963,583.1712555611634,465.70452517469147,27.5290477436912,101.25878181993286,15.486120637536416
Deutsch,296.5650141878041,295.02938891609915,298.4891080781154,313.31170064775796,308.33826745256783,319.9936127741005,-3.3271472813250793,-3.7025423899657044,-2.5604615588932345,0.04094753679975576,0.037173886923197536,0.04534048947222947,0.249069143389074,0.18134189886174293,0.3409923885587251,552.488408797306,528.3910629716864,575.1001729390333,468.7858818354528,27.02716298087824,100.8006725434706,14.660481020148415
Deutsch2,297.04263580528067,295.32891283054505,299.3261546257685,310.19567347849886,306.7169768967287,313.972785646066,-3.2894301039076717,-3.6556825078660697,-2.503765134369407,0.04086681829746972,0.03693632761774834,0.045208868255889684,0.24985976226792972,0.18290598762068316,0.3409838103988219,550.5502917403551,526.0960339341489,571.890550985894,466.0460831977188,27.378851354471955,103.8356909550453,15.099106540686437
Deutsch3,297.43411690927377,295.569678079687,299.94830453701246,308.4182578136644,305.6950479642864,311.2863349650848,-3.2531920791516162,-3.6319554180294786,-2.5429715960486217,0.04140514608263021,0.03713797572860014,0.04957657569870288,0.2533588152523887,0.1621984832795002,0.35321714164215723,547.8695126758333,524.1446649090891,570.0632616281168,464.2929552023573,27.15622876509868,103.23945829609816,15.067855005449815
