species,var_sp[1]_mean,var_sp[1]_2.5%,var_sp[1]_97.5%,var_sp[2]_mean,var_sp[2]_2.5%,var_sp[2]_97.5%,var_sp[3]_mean,var_sp[3]_2.5%,var_sp[3]_97.5%,var_sp[4]_mean,var_sp[4]_2.5%,var_sp[4]_97.5%,sigma_mean,sigma_2.5%,sigma_97.5%,indiv_std_mean,indiv_std_2.5%,indiv_std_97.5%,log_density_mean,log_density_2.5%,log_density_97.5%
Acromyrmex_echinatior,298.5607505565907,297.61430738570897,299.3542218600885,-3.204625362832994,-3.532265768757555,-2.777798254701123,5.297971198711313,3.3381793938336153,8.464498868295994,-1.3010385345075266,-1.5388894989599093,-1.0411460625039288,0.05541440359243024,0.05005061191096895,0.061555117940002554,0.3437066864731911,0.2630026283002714,0.4414409216234868,435.9762291019853,412.3582167215685,457.03314484712524
Apterostigma_dentigerum,296.79097191360904,296.17709001004556,297.45318700501764,-2.4749071649283643,-2.7823720497698536,-2.1688110001994034,4.094460924819609,2.861238341126617,6.040996393527726,-1.1795817725003708,-1.5882101349248494,-0.6955946196909129,0.0766025050568931,0.06977565987211681,0.08403632059145683,0.027397068824157857,0.00853314882147275,0.05974752642108327,496.2298678364454,442.2826994600818,556.5098789571223
Atta_colombica,297.7974762398358,296.25354857002446,299.42974266432446,-2.942158835097212,-3.6837480188193252,-2.202161120517516,3.1737600737236864,2.6446500142538527,4.219849120642747,-1.4498420087489634,-1.7026351615899797,-1.0988484548832118,0.06276554238108609,0.05734851765335499,0.06919294579405978,0.1520790012290144,0.10660436345371703,0.21106922365484287,447.3380889654979,423.7156156685072,469.1267581322191
Cyphomyrmex_costatus,300.14405860443287,299.4654874445081,300.85519510375724,-2.357855813043141,-2.9349583995238664,-1.818784222471743,2.999226437897032,2.7736056314525968,3.279680421553852,-1.6752224941115883,-1.9397898798631557,-1.3995220157606938,0.09849757991703446,0.08892858430637875,0.10955938877281732,0.0664333330318156,0.02873610838347546,0.11602101862189713,359.3747244882556,326.24076967799476,396.85498319483764
Mycocepurus_smithii,300.3106358176189,299.6896136207517,300.97155796443207,-3.2344637008822783,-3.6052635002969935,-2.6661457865167453,3.390617224256102,2.837245100198882,4.723496335093588,-1.3254279893317602,-1.5220441867486916,-1.0772901670299018,0.04215921271576435,0.03875717732291976,0.04597740358220358,0.2618834143538412,0.19443158840123853,0.35158958063562884,545.1710637533201,520.6426059265185,570.7259692027491
Paratrachymyrmex_cornetzi,296.7344594018693,295.9726592340281,297.710437956926,-2.935738312721908,-3.4056991854277805,-2.3480769408244315,3.1100122786833055,2.6630184635793417,4.518624464683139,-0.8101143064652915,-1.2756202237178988,-0.3324068017778557,0.0372272175947359,0.03376506170361542,0.041214037305470005,0.41731701580551644,0.2710234587092152,0.6400656802515073,554.1577740022946,523.4017148337952,582.9390459644766
