model,var_sp[1]_mean,var_sp[1]_2.5%,var_sp[1]_97.5%,var_sp[2]_mean,var_sp[2]_2.5%,var_sp[2]_97.5%,var_sp[3]_mean,var_sp[3]_2.5%,var_sp[3]_97.5%,sigma_mean,sigma_2.5%,sigma_97.5%,indiv_std_mean,indiv_std_2.5%,indiv_std_97.5%,log_density_mean,log_density_2.5%,log_density_97.5%,elpd,elpd_mcse,p,p_mcse
Gaussian,295.40669292280927,294.31597297722476,296.6356740512385,-2.466018151981144,-2.73929270538519,-2.177830820872872,1.2961769923156694,1.0135394480315962,1.7097734428904903,0.07741856513587846,0.06954064538378893,0.08560418336721913,0.2484298215163508,0.17104715784436803,0.3566327529445661,361.87188213410303,338.13482586520325,383.79590383540057,277.6565518858744,13.767438207731338,95.74023878436088,8.162672716895388
Modified Gaussian,295.2448537759572,294.2700690993837,296.29786875592345,-2.7010596685196844,-2.9713827512047684,-2.4341654632834833,1.6650442218901467,1.3810876104843581,1.910056724663363,0.07549364789831028,0.06870679139212521,0.0832532749621252,0.18715862317763157,0.13717250485915256,0.25607135652618424,386.584667998945,360.8272759028144,408.7513990888047,285.90858531375267,14.266002886216777,95.1040558072615,8.223683728856072
Weibull,296.7990993970603,296.13015345697073,297.60878754007456,-2.474568822736103,-2.7264463612532817,-2.180890753251791,4.186910686937397,2.89593719383766,6.237343387567734,0.07652109628203566,0.06923745706772552,0.08423304561904171,0.031189169096421165,0.010052757307883001,0.06161452584344501,487.5292894068081,441.9149291535422,547.5439879751004,298.51861312207825,12.982662478225494,72.75713274287484,5.922026488339004
Pawar,296.5830649261927,296.2594079254775,296.935889627428,-2.915258955768764,-3.3153190303268603,-2.6074521605435983,0.7551316265660256,0.46016196597289444,1.0443146546502053,0.07678917252588383,0.07007419371131038,0.08445941748620729,0.03272312019924265,0.011755256466050685,0.06330832050980448,488.86884892977264,443.2801777415793,545.5015080504795,297.6247971939375,12.781486777141915,72.34692095275521,5.807817713713925
Deutsch,297.3408115383881,296.6720203427292,298.1109464799993,303.4384211001486,302.77224422519555,304.264838958466,-2.5543150871003704,-2.837686286308059,-2.2677866504425976,0.07540292729832287,0.06866808918221955,0.08328269655025587,0.02669766750161898,0.006302428061624729,0.05818711671583031,507.3143093025596,452.4612903755236,584.2436893516972,303.49201624232717,13.410125634193074,71.5333155222927,5.949322255289463
Deutsch2,297.36025856318685,296.59061461761183,298.1689705952145,303.43080137353354,302.7191850485941,304.2411114688804,-2.553639100859975,-2.839950517015886,-2.2445423636325703,0.07552014238389307,0.0689662986565791,0.0827298115756947,0.02788785245151032,0.007716989520435641,0.0578831670794455,504.13666611510234,453.9914399537935,572.5854714413748,303.37271853532695,13.374726259953363,71.68648867589079,5.957473360749914
Deutsch3,297.32472693786326,296.66520506145554,298.11598013654157,303.45455052703636,302.85669960374554,304.22154864498776,-2.552093939186045,-2.850978570230308,-2.2442688345023574,0.07530876896139134,0.06863477730341191,0.08275423141002135,0.030597934193148893,0.011420135007793718,0.06097397406744562,497.77777032289595,450.65385962728016,554.2267400213965,303.07662471957514,13.388569314053289,72.65255295913494,6.04994897642694
