Acromyrmex_echinatior,Apterostigma_dentigerum,Atta_colombica,Cyphomyrmex_costatus,Mycocepurus_smithii,Paratrachymyrmex_cornetzi
0.0,0.10875,0.905,0.99875,0.9985,0.045375
0.89125,0.0,0.9786,0.9994,0.9998,0.354625
0.095,0.0214,0.0,0.996,0.9926,0.013
0.00125,0.0006,0.004,0.0,0.0908,0.000375
0.0015,0.0002,0.0074,0.9092,0.0,0.000375
0.954625,0.645375,0.987,0.999625,0.999625,0.0
