species,var_sp[1]_mean,var_sp[1]_2.5%,var_sp[1]_97.5%,var_sp[2]_mean,var_sp[2]_2.5%,var_sp[2]_97.5%,var_sp[3]_mean,var_sp[3]_2.5%,var_sp[3]_97.5%,var_sp[4]_mean,var_sp[4]_2.5%,var_sp[4]_97.5%,sigma_mean,sigma_2.5%,sigma_97.5%,indiv_std_mean,indiv_std_2.5%,indiv_std_97.5%,log_density_mean,log_density_2.5%,log_density_97.5%,elpd,elpd_mcse,p,p_mcse
Acromyrmex_echinatior,297.3479341860495,296.432722101761,298.2810985958935,-3.148283081485574,-3.5153970303149196,-2.684621398523387,1.125081877294741,0.5119528798705746,1.6215390991604868,0.3058399613003445,-0.08752788819835668,0.7486264477886183,0.0558136735485209,0.05052979041305163,0.061470690981320325,0.34845830343383716,0.2666382977648398,0.4583181913964955,438.8454453413296,415.2617719575666,459.9643290001435,374.03100128159366,21.517572870288422,93.11780514542664,12.085426120796505
Apterostigma_dentigerum,295.2448537759572,294.2700690993837,296.29786875592345,-2.7010596685196844,-2.9713827512047684,-2.4341654632834833,1.6650442218901467,1.3810876104843581,1.910056724663363,1.2936255112141555,0.5393623808411219,1.7525634156583203,0.07549364789831028,0.06870679139212521,0.0832532749621252,0.18715862317763157,0.13717250485915256,0.25607135652618424,386.584667998945,360.8272759028144,408.7513990888047,285.90858531375267,14.266002886216777,95.1040558072615,8.223683728856072
Atta_colombica,297.1792054668332,295.66602891559296,298.83989130402796,-2.957550961402089,-3.5747715873948627,-2.251292170497116,1.5642623724298095,1.2490295886159446,1.8730315761764638,0.6723792216960428,0.3143820704135955,1.0188260867693595,0.06276257119436196,0.0573702140909354,0.06926638893882875,0.15243016005515453,0.10505022567380583,0.21286899525843977,448.6292667827861,423.756159133908,469.48387374261387,344.16765159116,16.941534409519708,89.28129790182805,8.926859789892049
Cyphomyrmex_costatus,300.25737419508283,299.3315547224105,301.8201098701132,-2.4509041355682455,-2.9621618617159307,-1.9333545396649732,1.9453205353975878,1.7063679176493283,2.234009156644558,1.10599313967005,0.7279652790410411,1.379404454394872,0.09432537917684888,0.0858414232888463,0.10394672987615282,0.029089646591246646,0.007172625169276539,0.05752183737402297,421.4626594113572,375.111911750541,490.3544656223747,229.61538642281744,15.320551338551658,67.90817762043464,6.708070125153051
Mycocepurus_smithii,300.5135085687652,298.8429247440963,304.1937324741486,-3.4975145216304666,-3.884508613015882,-2.8860473947552348,1.844310322964467,1.489920739074766,2.3647549484969748,1.174200803024863,0.7152011802893625,1.6045766403016293,0.04091832146782055,0.03722655510923076,0.04523577741290702,0.25122169483048895,0.18422371534138332,0.33873965034618186,559.4787168543797,534.8657092289735,586.6639495655851,467.94731835749286,27.315483329506115,102.16934771974138,15.021739301014737
Paratrachymyrmex_cornetzi,296.16589469778165,295.48886096135533,296.7819167035644,-2.9548265824636486,-3.514978007013801,-2.2305309147156858,0.9605822513586855,0.32115161766878364,1.4005989852367393,0.7899470924726576,0.3075099457779016,1.1874199676394885,0.036996749154375536,0.03355941405220788,0.0410124762600614,0.39487736256989986,0.2581797476559733,0.5836678839954017,568.4844914231821,534.4250768470599,596.0570417761305,495.7065962448665,25.81359965651601,105.73728559338738,15.629874506393197
