model,var_sp[1]_mean,var_sp[1]_2.5%,var_sp[1]_97.5%,var_sp[2]_mean,var_sp[2]_2.5%,var_sp[2]_97.5%,var_sp[3]_mean,var_sp[3]_2.5%,var_sp[3]_97.5%,sigma_mean,sigma_2.5%,sigma_97.5%,indiv_std_mean,indiv_std_2.5%,indiv_std_97.5%,log_density_mean,log_density_2.5%,log_density_97.5%,elpd,elpd_mcse,p,p_mcse
Gaussian,297.22292089137363,295.657880702064,298.882600950049,-2.9646079552152447,-3.6161991394199244,-2.232284109928872,1.5731574332533667,1.3041288229229164,1.917303788486708,0.0628810211304376,0.05702254418019837,0.06951353330934332,0.15203701012320256,0.10823787155996459,0.20927892886360847,448.94711024634836,424.7149332995144,469.65127547320253,345.1408497143422,16.820823978531173,88.3166108825225,8.82872761022073
Modified Gaussian,297.1792054668332,295.66602891559296,298.83989130402796,-2.957550961402089,-3.5747715873948627,-2.251292170497116,1.5642623724298095,1.2490295886159446,1.8730315761764638,0.06276257119436196,0.0573702140909354,0.06926638893882875,0.15243016005515453,0.10505022567380583,0.21286899525843977,448.6292667827861,423.756159133908,469.48387374261387,344.16765159116,16.941534409519708,89.28129790182805,8.926859789892049
Weibull,297.84694966902396,296.3236368674945,299.2248682143968,-2.929222230241408,-3.657947007622893,-2.1990649598945655,3.1598361015018575,2.553904054248067,4.049369587291528,0.06261707664949549,0.05686896324458634,0.06886659689185073,0.15055150621106334,0.10641472924040497,0.21181895582412,447.56281253558484,421.87774453263614,470.0303359589447,345.3769271610995,16.9267120281064,88.5470118886858,8.786322200821699
Pawar,296.6656684983332,295.6935753844812,297.8644165156239,-3.0638457551644778,-3.6023344114833096,-2.4479984845978273,0.8814504948387227,0.4602439796655525,1.2593703666971185,0.06383224129315637,0.05800609119166742,0.07055622923603025,0.15915063143522645,0.10906692688834646,0.21821315798403076,444.2154523583155,415.08718357842724,467.29827165607287,341.33426376123396,16.21194796722072,87.75939537866398,8.515732377786797
Deutsch,297.46128905451224,295.9320957584037,299.2792334007045,305.4733689355599,303.7428837811032,307.88565741648006,-2.8603896427407642,-3.3511042016396937,-2.1856243806027287,0.06301125043050511,0.05727334534942918,0.06951539359653353,0.1488120698204532,0.10410498489225635,0.2080391962298077,443.78970475828095,419.0959361908636,465.5821819096363,344.89421547073994,16.702146688246376,87.84934709867447,8.710205301354796
Deutsch2,297.48573903227447,295.91717789070407,299.49414517298817,305.3030790920075,303.74030456704867,307.30927983140134,-2.855800105032168,-3.3523545308949245,-2.1615600518479217,0.06290104593447877,0.05711992186108306,0.06949670058907162,0.1492857607257061,0.10419671087974758,0.2076554091149373,444.9464501017807,420.60444646954323,466.8861834202954,345.79765488717237,16.683409157273314,87.36900379585806,8.639986742607153
Deutsch3,297.49031388159625,295.89290568121856,299.36994241760175,305.28158169645525,303.8619302949514,307.0926630887329,-2.8699493226995147,-3.3662717861493956,-2.204558529076021,0.06302726027262887,0.057216476895284474,0.06968047633212998,0.14890045366738958,0.10422373989198036,0.205149399688302,445.06277809649725,420.9517860012914,466.69393202872953,344.75397558506717,16.656406011258625,88.03463239273198,8.65287578006873
