model,var_sp[1]_mean,var_sp[1]_2.5%,var_sp[1]_97.5%,var_sp[2]_mean,var_sp[2]_2.5%,var_sp[2]_97.5%,var_sp[3]_mean,var_sp[3]_2.5%,var_sp[3]_97.5%,sigma_mean,sigma_2.5%,sigma_97.5%,indiv_std_mean,indiv_std_2.5%,indiv_std_97.5%,log_density_mean,log_density_2.5%,log_density_97.5%,elpd,elpd_mcse,p,p_mcse
Gaussian,297.06069729966055,295.90502949005804,298.19782467148895,-3.3727308126204063,-3.7110451371344073,-2.8445293352950958,1.5406574486435403,1.2869928916493885,1.8450524714099321,0.05522752566938674,0.050184212614729086,0.06105928403329145,0.40332599420845006,0.3135624576811264,0.5185462020337032,432.8371228863428,410.02948316030887,453.09203564074454,376.2110586800152,21.59899048546397,93.67162994685815,11.924157686365481
Modified Gaussian,297.3479341860495,296.432722101761,298.2810985958935,-3.148283081485574,-3.5153970303149196,-2.684621398523387,1.125081877294741,0.5119528798705746,1.6215390991604868,0.0558136735485209,0.05052979041305163,0.061470690981320325,0.34845830343383716,0.2666382977648398,0.4583181913964955,438.8454453413296,415.2617719575666,459.9643290001435,374.03100128159366,21.517572870288422,93.11780514542664,12.085426120796505
Weibull,298.49500723511363,297.5655576879598,299.32435163724546,-3.2133185498229704,-3.5521297307776027,-2.8151489957559415,5.07569849102111,3.2404397277144255,8.318380531576594,0.05574392037823837,0.05066213717978821,0.06187715411213048,0.3433076975191974,0.2620648356447644,0.448039291031272,436.8813760024302,411.69099963007505,463.1352712152318,376.04858130807617,21.457670107701663,91.81571209420568,12.051184091430123
Pawar,297.9314322669005,296.6417280095327,299.57228219365265,-3.831548818038458,-4.143908869066204,-3.22221239603878,0.639727606604831,0.17424335515163247,1.0883046324897472,0.05575993480102543,0.050866953004778705,0.061328461345349715,0.33775355859104966,0.2590224118369456,0.44308380879621917,438.67153104214754,415.58799063865945,459.6177038446534,374.91417966338054,21.23171892547867,91.9297239665794,11.725865105522095
Deutsch,299.2099785214272,296.5323525068499,301.739330697783,304.1100183764316,303.3193297734395,305.2741432914698,-3.201560002398402,-3.498057057079384,-2.671890315580114,0.055385029931202284,0.05020698752629414,0.06047655872773003,0.35487693812564475,0.26324043612705533,0.465661371781659,435.24401397109,410.9931481592854,456.50591812154784,376.4280435483215,21.336703944454353,92.57451168671358,11.677483725755208
Deutsch2,299.2988184981849,296.99644091261064,301.6575736495276,304.0834451636313,303.28111927579886,305.2890010202679,-3.18618924751897,-3.5137706767952674,-2.602473152393233,0.05529542498291197,0.04977202714333781,0.06121446891663338,0.35684577854387867,0.2716377865411362,0.4660990267136602,435.7425930368878,411.40991371314107,457.82536989792976,375.64638968896907,21.773085907575442,94.01772634332492,12.116189758955375
Deutsch3,299.19392936183965,296.86349115708447,301.5323929136855,304.13064310261007,303.3229849679225,305.34523155469185,-3.2029354012236753,-3.5292142963384916,-2.62841388603299,0.055285326228947766,0.05008067081446697,0.06111970748809066,0.3576586355799029,0.27255820366268735,0.471924516824487,435.59963387298234,411.0573271193751,457.66710486184917,376.5079783100809,21.514794473873373,92.75865312348718,11.840762672340098
