Acromyrmex_echinatior,Apterostigma_dentigerum,Atta_colombica,Cyphomyrmex_costatus,Mycocepurus_smithii,Paratrachymyrmex_cornetzi
0.0,0.06,0.1085,0.083625,0.082875,0.001625
0.94,0.0,0.5358,0.4834,0.3437,0.00275
0.8915,0.4642,0.0,0.4605,0.3463,0.01375
0.916375,0.5166,0.5395,0.0,0.3483,0.005875
0.917125,0.6563,0.6537,0.6517,0.0,0.01925
0.998375,0.99725,0.98625,0.994125,0.98075,0.0
