model,species,var_sp[1]_mean,var_sp[1]_2.5%,var_sp[1]_97.5%,var_sp[2]_mean,var_sp[2]_2.5%,var_sp[2]_97.5%,var_sp[3]_mean,var_sp[3]_2.5%,var_sp[3]_97.5%,sigma_mean,sigma_2.5%,sigma_97.5%,indiv_std_mean,indiv_std_2.5%,indiv_std_97.5%,log_density_mean,log_density_2.5%,log_density_97.5%,elpd,elpd_mcse,p,p_mcse,var_sp[4]_mean,var_sp[4]_2.5%,var_sp[4]_97.5%
Deutsch,Cyphomyrmex_costatus,297.14979935537684,296.1677943305794,298.2772696629786,319.7888264357136,315.0987966283445,325.35404834965607,-2.435266445998828,-2.8894756535046495,-1.9811390770352815,0.09446128318774231,0.08560063857901641,0.10406896395677499,0.03318107300052563,0.01495152999661372,0.060492542633625336,401.4338331923105,363.25543188440247,441.5442205700336,229.82182703957977,15.447916907849333,68.06800514002497,6.930751908318974,1.3478212421479914,1.0356331949413684,1.6264582673531385
Deutsch,Mycocepurus_smithii,296.5650141878041,295.02938891609915,298.4891080781154,313.31170064775796,308.33826745256783,319.9936127741005,-3.3271472813250793,-3.7025423899657044,-2.5604615588932345,0.04094753679975576,0.037173886923197536,0.04534048947222947,0.249069143389074,0.18134189886174293,0.3409923885587251,552.488408797306,528.3910629716864,575.1001729390333,468.7858818354528,27.02716298087824,100.8006725434706,14.660481020148415,0.9302086593984841,0.3703841059571817,1.4208593209326048
Deutsch,Paratrachymyrmex_cornetzi,294.9781584029559,293.8335840719986,296.28409170935174,303.33718163854115,303.08394372337,303.6921010983607,-3.0947379811001947,-3.4308251749002707,-2.6383322797965034,0.03692615437477214,0.033540584763035355,0.040832681679907314,0.38156247678410926,0.25619296691788157,0.5609082721588985,565.4362232022228,538.2782042047068,590.2157121131838,495.3800586299026,25.85797511099618,106.14609842704543,15.62695244010195,0.6131415331603436,0.09006486676230706,1.0934545962821018
Deutsch2,Acromyrmex_echinatior,299.2988184981849,296.99644091261064,301.6575736495276,304.0834451636313,303.28111927579886,305.2890010202679,-3.18618924751897,-3.5137706767952674,-2.602473152393233,0.05529542498291197,0.04977202714333781,0.06121446891663338,0.35684577854387867,0.2716377865411362,0.4660990267136602,435.7425930368878,411.40991371314107,457.82536989792976,375.64638968896907,21.773085907575442,94.01772634332492,12.116189758955375,1.7070168008908608,1.3224002893944953,1.9905361557735473
Deutsch2,Apterostigma_dentigerum,297.36025856318685,296.59061461761183,298.1689705952145,303.43080137353354,302.7191850485941,304.2411114688804,-2.553639100859975,-2.839950517015886,-2.2445423636325703,0.07552014238389307,0.0689662986565791,0.0827298115756947,0.02788785245151032,0.007716989520435641,0.0578831670794455,504.13666611510234,453.9914399537935,572.5854714413748,303.37271853532695,13.374726259953363,71.68648867589079,5.957473360749914,1.5907428314036904,1.3440044711987915,1.8029488821579736
Deutsch2,Atta_colombica,297.48573903227447,295.91717789070407,299.49414517298817,305.3030790920075,303.74030456704867,307.30927983140134,-2.855800105032168,-3.3523545308949245,-2.1615600518479217,0.06290104593447877,0.05711992186108306,0.06949670058907162,0.1492857607257061,0.10419671087974758,0.2076554091149373,444.9464501017807,420.60444646954323,466.8861834202954,345.79765488717237,16.683409157273314,87.36900379585806,8.639986742607153,1.589978909081831,1.2875138483189204,1.8626449409916992
Deutsch2,Cyphomyrmex_costatus,297.3791112631323,296.30697789383345,298.7997323859057,314.57152847654226,308.3504980269069,318.8538831592239,-2.4296827483962407,-2.8627923026930424,-2.0205607657191176,0.09441600073577781,0.08580036512859197,0.10396805547960457,0.04163122376601381,0.017677844759046175,0.07579063244168592,383.73175613107855,347.7487183509188,434.229566022758,227.65229948010136,15.48444106740987,71.14044823322533,7.247786793844078,1.3732920546078713,1.0336525221931634,1.688729557360483
Deutsch2,Mycocepurus_smithii,297.04263580528067,295.32891283054505,299.3261546257685,310.19567347849886,306.7169768967287,313.972785646066,-3.2894301039076717,-3.6556825078660697,-2.503765134369407,0.04086681829746972,0.03693632761774834,0.045208868255889684,0.24985976226792972,0.18290598762068316,0.3409838103988219,550.5502917403551,526.0960339341489,571.890550985894,466.0460831977188,27.378851354471955,103.8356909550453,15.099106540686437,1.0420610531058707,0.48419607237963175,1.510440337600053
Deutsch2,Paratrachymyrmex_cornetzi,295.00565044035994,293.7596714754948,296.34518444964823,303.32640956565587,303.06639210850017,303.64195355087935,-3.097412404471389,-3.4178437016280525,-2.626391051276108,0.03695082872624924,0.033518358678378476,0.040761655169248526,0.3844182855928251,0.25439110411411686,0.5738193282104508,566.8620422264207,536.9416765757003,593.0195820108661,495.40713796493606,26.011581259856072,106.35996994066225,15.801647978927413,0.6404710430966924,0.15208560612425773,1.1111806096315622
Deutsch3,Acromyrmex_echinatior,299.19392936183965,296.86349115708447,301.5323929136855,304.13064310261007,303.3229849679225,305.34523155469185,-3.2029354012236753,-3.5292142963384916,-2.62841388603299,0.055285326228947766,0.05008067081446697,0.06111970748809066,0.3576586355799029,0.27255820366268735,0.471924516824487,435.59963387298234,411.0573271193751,457.66710486184917,376.5079783100809,21.514794473873373,92.75865312348718,11.840762672340098,1.6938762308239803,1.2372804228030054,2.00935583706632
Deutsch3,Apterostigma_dentigerum,297.32472693786326,296.66520506145554,298.11598013654157,303.45455052703636,302.85669960374554,304.22154864498776,-2.552093939186045,-2.850978570230308,-2.2442688345023574,0.07530876896139134,0.06863477730341191,0.08275423141002135,0.030597934193148893,0.011420135007793718,0.06097397406744562,497.77777032289595,450.65385962728016,554.2267400213965,303.07662471957514,13.388569314053289,72.65255295913494,6.04994897642694,1.5777969661214724,1.3409899407177062,1.7874356201900117
Deutsch3,Atta_colombica,297.49031388159625,295.89290568121856,299.36994241760175,305.28158169645525,303.8619302949514,307.0926630887329,-2.8699493226995147,-3.3662717861493956,-2.204558529076021,0.06302726027262887,0.057216476895284474,0.06968047633212998,0.14890045366738958,0.10422373989198036,0.205149399688302,445.06277809649725,420.9517860012914,466.69393202872953,344.75397558506717,16.656406011258625,88.03463239273198,8.65287578006873,1.590095096974212,1.2594702959897777,1.8663558464974586
Deutsch3,Cyphomyrmex_costatus,297.300527977316,296.21950660696945,298.656031208199,308.66676810511433,304.4465753382033,313.3975215985104,-2.439219149201756,-2.9590274439803506,-2.0365533170356,0.09441070514597112,0.08586858602184572,0.10347823636523515,0.04089350847469664,0.019649266248774493,0.07374558246205114,378.5812361532897,343.2193501700159,415.5019047078171,227.86544725125475,15.455358769582972,70.79022920078219,7.221058632813051,1.3758205427095314,1.0243009220412906,1.699884842843283
Deutsch3,Mycocepurus_smithii,297.43411690927377,295.569678079687,299.94830453701246,308.4182578136644,305.6950479642864,311.2863349650848,-3.2531920791516162,-3.6319554180294786,-2.5429715960486217,0.04140514608263021,0.03713797572860014,0.04957657569870288,0.2533588152523887,0.1621984832795002,0.35321714164215723,547.8695126758333,524.1446649090891,570.0632616281168,464.2929552023573,27.15622876509868,103.23945829609816,15.067855005449815,1.1119731560465147,0.612804209492962,1.595052722641144
Deutsch3,Paratrachymyrmex_cornetzi,294.99478347884764,293.83019543538285,296.3166715092622,303.32488523819507,303.08688257390895,303.6229807272845,-3.0871379089296234,-3.430614630566487,-2.5990718180355947,0.03690562455242858,0.03351884921718574,0.04070222795722892,0.38203268269273216,0.25611183232485857,0.55262256277564,566.7760656818787,539.1504520607064,592.2561469166869,497.89606023829026,25.504399682992034,103.45772048770014,15.154242175261489,0.6104230938680361,0.13851397997433,1.0971437306258627
