Acromyrmex_echinatior,Apterostigma_dentigerum,Atta_colombica,Cyphomyrmex_costatus,Mycocepurus_smithii,Paratrachymyrmex_cornetzi
0.0,0.5,0.5195,0.88425,0.966,0.980125
0.5,0.0,0.5173,0.9135,0.9836,0.993625
0.4805,0.4827,0.0,0.8949,0.977,0.9885
0.11575,0.0865,0.1051,0.0,0.9105,0.9655
0.034,0.0164,0.023,0.0895,0.0,0.729875
0.019875,0.006375,0.0115,0.0345,0.270125,0.0
