model,var_sp[1]_mean,var_sp[1]_2.5%,var_sp[1]_97.5%,var_sp[2]_mean,var_sp[2]_2.5%,var_sp[2]_97.5%,var_sp[3]_mean,var_sp[3]_2.5%,var_sp[3]_97.5%,sigma_mean,sigma_2.5%,sigma_97.5%,indiv_std_mean,indiv_std_2.5%,indiv_std_97.5%,log_density_mean,log_density_2.5%,log_density_97.5%,elpd,elpd_mcse,p,p_mcse
Gaussian,296.1547842292919,295.5504807758344,296.7008487278303,-2.9255578783465706,-3.368023713767086,-2.426515966232614,0.9153710392347375,0.591921535593252,1.2652823193748413,0.037024758362253704,0.03360378184177546,0.04093848905963377,0.3791835411538075,0.2510736977462688,0.5627021341013624,567.5398541822608,540.7721932530042,591.9340749209891,494.0577510480869,26.223463539279734,107.0567022896483,16.059581495211063
Modified Gaussian,296.16589469778165,295.48886096135533,296.7819167035644,-2.9548265824636486,-3.514978007013801,-2.2305309147156858,0.9605822513586855,0.32115161766878364,1.4005989852367393,0.036996749154375536,0.03355941405220788,0.0410124762600614,0.39487736256989986,0.2581797476559733,0.5836678839954017,568.4844914231821,534.4250768470599,596.0570417761305,495.7065962448665,25.81359965651601,105.73728559338738,15.629874506393197
Weibull,296.7412544309787,296.011937725745,297.6759836352567,-2.9251977210409614,-3.4481918556898368,-2.3119459241076017,3.0358433778389537,2.624206226054222,4.213280283704346,0.03742988132564505,0.0337803832087622,0.041313618167545946,0.4046928182181673,0.2619695518272491,0.6162601540808655,555.1597126998911,525.9221346486929,583.2316200023397,490.2097815565006,25.898622942867423,107.38741606239238,16.1561580069135
Pawar,295.72496520091613,294.8724120766349,296.48821429729776,-3.545932872895743,-3.8929936358864183,-3.080464885188236,1.8143926876559588,1.267851541206006,2.331000408716289,0.03690562234132502,0.033506781821115036,0.04080667985118615,0.3866516742451738,0.25620552285305886,0.5699923276688059,564.3095983693582,536.5564587543595,590.4263072436122,494.1443495533133,26.118300227274112,107.78254707807126,15.890887380794016
Deutsch,294.9781584029559,293.8335840719986,296.28409170935174,303.33718163854115,303.08394372337,303.6921010983607,-3.0947379811001947,-3.4308251749002707,-2.6383322797965034,0.03692615437477214,0.033540584763035355,0.040832681679907314,0.38156247678410926,0.25619296691788157,0.5609082721588985,565.4362232022228,538.2782042047068,590.2157121131838,495.3800586299026,25.85797511099618,106.14609842704543,15.62695244010195
Deutsch2,295.00565044035994,293.7596714754948,296.34518444964823,303.32640956565587,303.06639210850017,303.64195355087935,-3.097412404471389,-3.4178437016280525,-2.626391051276108,0.03695082872624924,0.033518358678378476,0.040761655169248526,0.3844182855928251,0.25439110411411686,0.5738193282104508,566.8620422264207,536.9416765757003,593.0195820108661,495.40713796493606,26.011581259856072,106.35996994066225,15.801647978927413
Deutsch3,294.99478347884764,293.83019543538285,296.3166715092622,303.32488523819507,303.08688257390895,303.6229807272845,-3.0871379089296234,-3.430614630566487,-2.5990718180355947,0.03690562455242858,0.03351884921718574,0.04070222795722892,0.38203268269273216,0.25611183232485857,0.55262256277564,566.7760656818787,539.1504520607064,592.2561469166869,497.89606023829026,25.504399682992034,103.45772048770014,15.154242175261489
