model,var_sp[1]_mean,var_sp[1]_2.5%,var_sp[1]_97.5%,var_sp[2]_mean,var_sp[2]_2.5%,var_sp[2]_97.5%,var_sp[3]_mean,var_sp[3]_2.5%,var_sp[3]_97.5%,sigma_mean,sigma_2.5%,sigma_97.5%,indiv_std_mean,indiv_std_2.5%,indiv_std_97.5%,log_density_mean,log_density_2.5%,log_density_97.5%,elpd,elpd_mcse,p,p_mcse
Gaussian,299.8718253919955,299.131564939687,300.5951938710628,-2.3319119147846346,-2.9203702035318084,-1.789601695324931,1.7135044048172983,1.5161669685270474,1.921906447248789,0.0978356084897989,0.08827297005811352,0.108952208321085,0.0867236198637067,0.0420942782178726,0.13442270570549805,344.86200053826656,319.1433788230184,371.9472522010476,210.98426017546606,14.313380244964907,79.8618043936262,7.3195740282103
Modified Gaussian,300.25737419508283,299.3315547224105,301.8201098701132,-2.4509041355682455,-2.9621618617159307,-1.9333545396649732,1.9453205353975878,1.7063679176493283,2.234009156644558,0.09432537917684888,0.0858414232888463,0.10394672987615282,0.029089646591246646,0.007172625169276539,0.05752183737402297,421.4626594113572,375.111911750541,490.3544656223747,229.61538642281744,15.320551338551658,67.90817762043464,6.708070125153051
Weibull,300.1369980392868,299.4993500107285,300.84558692817143,-2.3767438595579873,-3.028143429137756,-1.802585447703827,3.000453854397406,2.8362469541234305,3.233231788872054,0.09835565703319546,0.08883966286536231,0.10903900586205058,0.06450533566532989,0.02374643773702866,0.1130755599457147,361.4368419656267,328.5221267734191,405.31987309790816,211.47835484845248,14.719943419158662,76.69158959332793,7.437188203156166
Pawar,298.9837345476004,298.0222467739542,300.41670937949317,-2.5345246888840607,-3.2926932315271182,-1.9889849102388755,1.3294852673196194,1.0856646054722667,1.5245046170872363,0.09480043128833719,0.08539733948568398,0.10449846519113867,0.02853399811498836,0.012558661443455575,0.05581321798402031,421.9586133762694,378.50170908345643,465.4822789498707,228.55769535327093,15.98509701803681,67.95101545624188,7.345444965648744
Deutsch,297.14979935537684,296.1677943305794,298.2772696629786,319.7888264357136,315.0987966283445,325.35404834965607,-2.435266445998828,-2.8894756535046495,-1.9811390770352815,0.09446128318774231,0.08560063857901641,0.10406896395677499,0.03318107300052563,0.01495152999661372,0.060492542633625336,401.4338331923105,363.25543188440247,441.5442205700336,229.82182703957977,15.447916907849333,68.06800514002497,6.930751908318974
Deutsch2,297.3791112631323,296.30697789383345,298.7997323859057,314.57152847654226,308.3504980269069,318.8538831592239,-2.4296827483962407,-2.8627923026930424,-2.0205607657191176,0.09441600073577781,0.08580036512859197,0.10396805547960457,0.04163122376601381,0.017677844759046175,0.07579063244168592,383.73175613107855,347.7487183509188,434.229566022758,227.65229948010136,15.48444106740987,71.14044823322533,7.247786793844078
Deutsch3,297.300527977316,296.21950660696945,298.656031208199,308.66676810511433,304.4465753382033,313.3975215985104,-2.439219149201756,-2.9590274439803506,-2.0365533170356,0.09441070514597112,0.08586858602184572,0.10347823636523515,0.04089350847469664,0.019649266248774493,0.07374558246205114,378.5812361532897,343.2193501700159,415.5019047078171,227.86544725125475,15.455358769582972,70.79022920078219,7.221058632813051
